Version,Commit Message,SATD
2.2.0,"This does not work if we merge with the first loop, not sure why",1
2.2.0,TODO: maybe add dynamic part,1
2.2.0,hack [min_len_batch-1:] because expect <bos>,1
2.1.2,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
2.1.2,hack for python2/3 compatibility,1
2.1.2,hack for python2/3 compatibility,1
2.1.2,TODO: fix for pytorch 0.3,1
2.1.2,TODO: context gate should be employed,1
2.1.2,TODO change the way attns is returned dict => list or tuple (onnx),1
2.1.2,TODO change the way attns is returned dict => list or tuple (onnx),1
2.1.2,TODO change the way attns is returned dict => list or tuple (onnx),1
2.1.2,hack to dodge unpicklable `dict_keys`,1
2.1.2,TODO: Find a better way to check for sparse gradients.,1
2.1.2,this is a hack: appears quicker to apply it here,1
2.1.2,"This does not work if we merge with the first loop, not sure why",1
2.1.2,TODO: maybe add dynamic part,1
2.1.2,hack [min_len_batch-1:] because expect <bos>,1
2.1.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
2.1.1,hack for python2/3 compatibility,1
2.1.1,hack for python2/3 compatibility,1
2.1.1,TODO: fix for pytorch 0.3,1
2.1.1,TODO: context gate should be employed,1
2.1.1,TODO change the way attns is returned dict => list or tuple (onnx),1
2.1.1,TODO change the way attns is returned dict => list or tuple (onnx),1
2.1.1,TODO change the way attns is returned dict => list or tuple (onnx),1
2.1.1,hack to dodge unpicklable `dict_keys`,1
2.1.1,TODO: Find a better way to check for sparse gradients.,1
2.1.1,this is a hack: appears quicker to apply it here,1
2.1.1,"This does not work if we merge with the first loop, not sure why",1
2.1.1,TODO: maybe add dynamic part,1
2.1.1,hack [min_len_batch-1:] because expect <bos>,1
2.1.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
2.1.0,hack for python2/3 compatibility,1
2.1.0,hack for python2/3 compatibility,1
2.1.0,TODO: fix for pytorch 0.3,1
2.1.0,TODO: context gate should be employed,1
2.1.0,TODO change the way attns is returned dict => list or tuple (onnx),1
2.1.0,TODO change the way attns is returned dict => list or tuple (onnx),1
2.1.0,TODO change the way attns is returned dict => list or tuple (onnx),1
2.1.0,hack to dodge unpicklable `dict_keys`,1
2.1.0,TODO: Find a better way to check for sparse gradients.,1
2.1.0,this is a hack: appears quicker to apply it here,1
2.1.0,"This does not work if we merge with the first loop, not sure why",1
2.1.0,TODO: maybe add dynamic part,1
2.1.0,hack [min_len_batch-1:] because expect <bos>,1
2.0.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
2.0.1,hack for python2/3 compatibility,1
2.0.1,hack for python2/3 compatibility,1
2.0.1,TODO: fix for pytorch 0.3,1
2.0.1,TODO: context gate should be employed,1
2.0.1,TODO change the way attns is returned dict => list or tuple (onnx),1
2.0.1,TODO change the way attns is returned dict => list or tuple (onnx),1
2.0.1,TODO change the way attns is returned dict => list or tuple (onnx),1
2.0.1,hack to dodge unpicklable `dict_keys`,1
2.0.1,TODO: Find a better way to check for sparse gradients.,1
2.0.1,this is a hack: appears quicker to apply it here,1
2.0.1,"This does not work if we merge with the first loop, not sure why",1
2.0.1,TODO: maybe add dynamic part,1
2.0.1,hack [min_len_batch-1:] because expect <bos>,1
2.0.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
2.0.0,hack for python2/3 compatibility,1
2.0.0,hack for python2/3 compatibility,1
2.0.0,TODO: fix for pytorch 0.3,1
2.0.0,TODO: context gate should be employed,1
2.0.0,TODO change the way attns is returned dict => list or tuple (onnx),1
2.0.0,TODO change the way attns is returned dict => list or tuple (onnx),1
2.0.0,TODO change the way attns is returned dict => list or tuple (onnx),1
2.0.0,hack to dodge unpicklable `dict_keys`,1
2.0.0,TODO: Find a better way to check for sparse gradients.,1
2.0.0,this is a hack: appears quicker to apply it here,1
2.0.0,"This does not work if we merge with the first loop, not sure why",1
2.0.0,TODO: maybe add dynamic part,1
2.0.0,hack [min_len_batch-1:] because expect <bos>,1
2.0.0rc2,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
2.0.0rc2,hack for python2/3 compatibility,1
2.0.0rc2,hack for python2/3 compatibility,1
2.0.0rc2,TODO: fix for pytorch 0.3,1
2.0.0rc2,TODO: context gate should be employed,1
2.0.0rc2,TODO change the way attns is returned dict => list or tuple (onnx),1
2.0.0rc2,TODO change the way attns is returned dict => list or tuple (onnx),1
2.0.0rc2,hack to dodge unpicklable `dict_keys`,1
2.0.0rc2,TODO: Find a better way to check for sparse gradients.,1
2.0.0rc2,this is a hack: appears quicker to apply it here,1
2.0.0rc2,"This does not work if we merge with the first loop, not sure why",1
2.0.0rc2,TODO: maybe add dynamic part,1
2.0.0rc1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
2.0.0rc1,hack for python2/3 compatibility,1
2.0.0rc1,hack for python2/3 compatibility,1
2.0.0rc1,TODO: fix for pytorch 0.3,1
2.0.0rc1,TODO: context gate should be employed,1
2.0.0rc1,TODO change the way attns is returned dict => list or tuple (onnx),1
2.0.0rc1,TODO change the way attns is returned dict => list or tuple (onnx),1
2.0.0rc1,hack to dodge unpicklable `dict_keys`,1
2.0.0rc1,TODO: Find a better way to check for sparse gradients.,1
2.0.0rc1,this is a hack: appears quicker to apply it here,1
2.0.0rc1,"This does not work if we merge with the first loop, not sure why",1
2.0.0rc1,TODO: maybe add dynamic part,1
1.2.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
1.2.0,hack for python2/3 compatibility,1
1.2.0,hack for python2/3 compatibility,1
1.2.0,why is the model_opt.__dict__ check necessary?,1
1.2.0,TODO why?,1
1.2.0,TODO: fix for pytorch 0.3,1
1.2.0,TODO: context gate should be employed,1
1.2.0,TODO change the way attns is returned dict => list or tuple (onnx),1
1.2.0,TODO change the way attns is returned dict => list or tuple (onnx),1
1.2.0,TODO: Find a better way to check for sparse gradients.,1
1.2.0,hack to dodge unpicklable `dict_keys`,1
1.1.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
1.1.1,hack for python2/3 compatibility,1
1.1.1,hack for python2/3 compatibility,1
1.1.1,why is the model_opt.__dict__ check necessary?,1
1.1.1,TODO why?,1
1.1.1,TODO: fix for pytorch 0.3,1
1.1.1,TODO: context gate should be employed,1
1.1.1,TODO change the way attns is returned dict => list or tuple (onnx),1
1.1.1,TODO change the way attns is returned dict => list or tuple (onnx),1
1.1.1,TODO: Find a better way to check for sparse gradients.,1
1.1.1,hack to dodge unpicklable `dict_keys`,1
1.1.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
1.1.0,hack for python2/3 compatibility,1
1.1.0,hack for python2/3 compatibility,1
1.1.0,why is the model_opt.__dict__ check necessary?,1
1.1.0,TODO why?,1
1.1.0,TODO: fix for pytorch 0.3,1
1.1.0,TODO: context gate should be employed,1
1.1.0,TODO change the way attns is returned dict => list or tuple (onnx),1
1.1.0,TODO change the way attns is returned dict => list or tuple (onnx),1
1.1.0,TODO: Find a better way to check for sparse gradients.,1
1.1.0,hack to dodge unpicklable `dict_keys`,1
1.0.2,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
1.0.2,hack for python2/3 compatibility,1
1.0.2,hack for python2/3 compatibility,1
1.0.2,why is the model_opt.__dict__ check necessary?,1
1.0.2,TODO: fix for pytorch 0.3,1
1.0.2,TODO: context gate should be employed,1
1.0.2,TODO change the way attns is returned dict => list or tuple (onnx),1
1.0.2,TODO change the way attns is returned dict => list or tuple (onnx),1
1.0.2,TODO: Find a better way to check for sparse gradients.,1
1.0.2,hack to dodge unpicklable `dict_keys`,1
1.0.1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
1.0.1,hack for python2/3 compatibility,1
1.0.1,hack for python2/3 compatibility,1
1.0.1,why is the model_opt.__dict__ check necessary?,1
1.0.1,TODO: fix for pytorch 0.3,1
1.0.1,TODO: context gate should be employed,1
1.0.1,TODO change the way attns is returned dict => list or tuple (onnx),1
1.0.1,TODO change the way attns is returned dict => list or tuple (onnx),1
1.0.1,TODO: Find a better way to check for sparse gradients.,1
1.0.1,hack to dodge unpicklable `dict_keys`,1
1.0.0,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
1.0.0,hack for python2/3 compatibility,1
1.0.0,hack for python2/3 compatibility,1
1.0.0,why is the model_opt.__dict__ check necessary?,1
1.0.0,TODO: fix for pytorch 0.3,1
1.0.0,TODO: context gate should be employed,1
1.0.0,TODO change the way attns is returned dict => list or tuple (onnx),1
1.0.0,TODO: change 1 to T as T could be 1 or tgt_len,1
1.0.0,TODO change the way attns is returned dict => list or tuple (onnx),1
1.0.0,TODO: Find a better way to check for sparse gradients.,1
1.0.0,hack to dodge unpicklable `dict_keys`,1
1.0.0.rc1,"If true, `todo` and `todoList` produce output, else they produce nothing.",1
1.0.0.rc1,hack for python2/3 compatibility,1
1.0.0.rc1,hack for python2/3 compatibility,1
1.0.0.rc1,why is the model_opt.__dict__ check necessary?,1
1.0.0.rc1,TODO: fix for pytorch 0.3,1
1.0.0.rc1,TODO: context gate should be employed,1
1.0.0.rc1,TODO change the way attns is returned dict => list or tuple (onnx),1
1.0.0.rc1,TODO change the way attns is returned dict => list or tuple (onnx),1
